recall,above 70,effort,number of docs,number of relevant
0.5769230769230769,False,0.435051546392,970,26
0.7171717171717171,True,0.594969035306,5221,99
0.5974025974025974,False,0.497474747475,792,77
0.6956521739130435,False,0.645627062706,1616,92
0.8,True,0.56771992286,2247,25
0.6739130434782609,False,0.53601953602,1911,46
0.6521739130434783,False,0.428128872367,6456,138
0.7321428571428571,True,0.632208662359,2786,56
0.658695652173913,False,0.455296999388,6532,460
0.6346153846153846,False,0.552157662249,981,52
0.5185185185185185,False,0.485377988108,5494,54
0.5777777777777777,False,0.630462858809,8001,45
0.0,False,0.337254901961,170,6
0.5792079207920792,False,0.675282862662,10871,202

0.6010139023537644,0.21428571428571427,0.533788047047
